CustomerID,Country,first_invoices_time
17850.0,United Kingdom,2010-12-01 08:26:00
13047.0,United Kingdom,2010-12-01 08:34:00
12583.0,France,2010-12-01 08:45:00
13748.0,United Kingdom,2010-12-01 09:00:00
15100.0,United Kingdom,2010-12-01 09:09:00
15291.0,United Kingdom,2010-12-01 09:32:00
14688.0,United Kingdom,2010-12-01 09:37:00
14527.0,United Kingdom,2010-12-01 09:41:00
15311.0,United Kingdom,2010-12-01 09:41:00
17809.0,United Kingdom,2010-12-01 09:41:00
16098.0,United Kingdom,2010-12-01 09:45:00
18074.0,United Kingdom,2010-12-01 09:53:00
17420.0,United Kingdom,2010-12-01 09:56:00
16029.0,United Kingdom,2010-12-01 09:57:00
16250.0,United Kingdom,2010-12-01 09:59:00
12431.0,Australia,2010-12-01 10:03:00
17511.0,United Kingdom,2010-12-01 10:19:00
17548.0,United Kingdom,2010-12-01 10:24:00
13705.0,United Kingdom,2010-12-01 10:29:00
13747.0,United Kingdom,2010-12-01 10:37:00
13408.0,United Kingdom,2010-12-01 10:39:00
13767.0,United Kingdom,2010-12-01 10:47:00
17924.0,United Kingdom,2010-12-01 10:51:00
13448.0,United Kingdom,2010-12-01 10:52:00
15862.0,United Kingdom,2010-12-01 11:21:00
15513.0,United Kingdom,2010-12-01 11:22:00
12791.0,Netherlands,2010-12-01 11:27:00
16218.0,United Kingdom,2010-12-01 11:29:00
14045.0,United Kingdom,2010-12-01 11:32:00
14307.0,United Kingdom,2010-12-01 11:41:00
17908.0,United Kingdom,2010-12-01 11:45:00
17920.0,United Kingdom,2010-12-01 11:49:00
12838.0,United Kingdom,2010-12-01 11:57:00
13255.0,United Kingdom,2010-12-01 11:58:00
16583.0,United Kingdom,2010-12-01 12:03:00
13758.0,United Kingdom,2010-12-01 12:08:00
18085.0,United Kingdom,2010-12-01 12:08:00
13694.0,United Kingdom,2010-12-01 12:12:00
15983.0,United Kingdom,2010-12-01 12:15:00
14849.0,United Kingdom,2010-12-01 12:22:00
17968.0,United Kingdom,2010-12-01 12:23:00
16210.0,United Kingdom,2010-12-01 12:27:00
