CustomerID,label,time
17850.0,False,2011-01-20 08:26:00
13047.0,True,2011-01-20 08:34:00
12583.0,True,2011-01-20 08:45:00
13748.0,False,2011-01-20 09:00:00
15100.0,False,2011-01-20 09:09:00
15291.0,False,2011-01-20 09:32:00
14688.0,True,2011-01-20 09:37:00
15311.0,True,2011-01-20 09:41:00
17809.0,True,2011-01-20 09:41:00
14527.0,True,2011-01-20 09:41:00
16098.0,True,2011-01-20 09:45:00
18074.0,False,2011-01-20 09:53:00
17420.0,False,2011-01-20 09:56:00
16029.0,True,2011-01-20 09:57:00
16250.0,False,2011-01-20 09:59:00
12431.0,True,2011-01-20 10:03:00
17511.0,True,2011-01-20 10:19:00
17548.0,False,2011-01-20 10:24:00
13705.0,False,2011-01-20 10:29:00
13747.0,False,2011-01-20 10:37:00
13408.0,True,2011-01-20 10:39:00
13767.0,False,2011-01-20 10:47:00
17924.0,True,2011-01-20 10:51:00
13448.0,False,2011-01-20 10:52:00
15862.0,False,2011-01-20 11:21:00
15513.0,True,2011-01-20 11:22:00
12791.0,False,2011-01-20 11:27:00
16218.0,False,2011-01-20 11:29:00
14045.0,False,2011-01-20 11:32:00
14307.0,False,2011-01-20 11:41:00
17908.0,False,2011-01-20 11:45:00
17920.0,True,2011-01-20 11:49:00
12838.0,False,2011-01-20 11:57:00
13255.0,False,2011-01-20 11:58:00
16583.0,False,2011-01-20 12:03:00
18085.0,False,2011-01-20 12:08:00
13758.0,False,2011-01-20 12:08:00
13694.0,True,2011-01-20 12:12:00
15983.0,False,2011-01-20 12:15:00
14849.0,True,2011-01-20 12:22:00
17968.0,False,2011-01-20 12:23:00
16210.0,True,2011-01-20 12:27:00
17897.0,False,2011-01-20 12:31:00
17377.0,True,2011-01-20 12:35:00
16552.0,False,2011-01-20 12:36:00
17181.0,False,2011-01-20 12:38:00
17951.0,False,2011-01-20 12:40:00
14729.0,False,2011-01-20 12:43:00
12748.0,False,2011-01-20 12:48:00
15012.0,False,2011-01-20 12:49:00
12868.0,True,2011-01-20 12:50:00
17572.0,False,2011-01-20 12:51:00
14078.0,False,2011-01-20 12:54:00
14001.0,False,2011-01-20 12:58:00
12662.0,True,2011-01-20 13:04:00
15525.0,False,2011-01-20 13:17:00
14237.0,False,2011-01-20 13:20:00
17905.0,False,2011-01-20 13:21:00
15485.0,False,2011-01-20 13:23:00
12433.0,False,2011-01-20 13:24:00
16955.0,False,2011-01-20 13:31:00
15350.0,False,2011-01-20 13:33:00
15605.0,False,2011-01-20 13:38:00
18144.0,True,2011-01-20 13:45:00
15922.0,False,2011-01-20 13:51:00
